datetime;groupName;validUID;UID;noMobile;userName;content;typeContent;fromMe;isAdmin
2020-09-24 10:27:49;Group ABCDE;<Contact Mr. I (741193172177@c.us)>;741193172177@c.us;741193172177;Mr. I;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a ;chat;False;True
2020-09-24 10:28:32;Group ABCDE;<Contact Mr. I (741193172177@c.us)>;741193172177@c.us;741193172177;Mr. I;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a @226238332943;chat;False;True
2020-09-24 10:28:47;Group ABCDE;<Contact Mrs. C (666461028713@c.us)>;666461028713@c.us;666461028713;Mrs. C;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a @193360307006;chat;False;True
2020-09-24 10:29:04;Group ABCDE;<Contact Mrs. C (666461028713@c.us)>;666461028713@c.us;666461028713;Mrs. C;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a ;chat;False;True
2020-09-24 10:29:41;Group ABCDE;<Contact Mr. I (741193172177@c.us)>;741193172177@c.us;741193172177;Mr. I;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a @193360307006;chat;False;True
2020-09-24 10:32:58;Group ABCDE;<Contact Mrs. L (226238332943@c.us)>;226238332943@c.us;226238332943;Mrs. L;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a ;chat;False;True
2020-09-24 10:32:58;Group ABCDE;<Contact Mrs. L (226238332943@c.us)>;226238332943@c.us;226238332943;Mrs. L;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a ;chat;False;True
2020-09-24 10:33:23;Group ABCDE;<Contact You (193360307006@c.us)>;193360307006@c.us;You;You;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a ;chat;False;False
2020-09-24 10:33:27;Group ABCDE;<Contact Mrs. L (226238332943@c.us)>;226238332943@c.us;226238332943;Mrs. L;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a @334505867219;chat;False;True
2020-09-24 10:33:35;Group ABCDE;<Contact You (193360307006@c.us)>;193360307006@c.us;You;You;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a ;chat;False;False
2020-09-24 10:34:25;Group ABCDE;<Contact Mrs. S (440333782705@c.us)>;440333782705@c.us;440333782705;Mrs. S;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a ;chat;False;False
2020-09-24 10:34:43;Group ABCDE;<Contact Mr. K (764963914688@c.us)>;764963914688@c.us;764963914688;Mr. K;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a ;sticker;False;True
2020-09-24 10:34:47;Group ABCDE;<Contact Mr. K (764963914688@c.us)>;764963914688@c.us;764963914688;Mr. K;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a ;chat;False;True
2020-09-24 10:35:19;Group ABCDE;<Contact Mr. P (334505867219@c.us)>;334505867219@c.us;334505867219;Mr. P;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a ;chat;False;False
2020-09-24 10:36:01;Group ABCDE;<Contact Mrs. S (440333782705@c.us)>;440333782705@c.us;440333782705;Mrs. S;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a ;chat;False;False
2020-09-24 10:36:57;Group ABCDE;<Contact You (193360307006@c.us)>;193360307006@c.us;You;You;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a ;chat;False;False
2020-09-24 10:40:55;Group ABCDE;<Contact Mr. P (334505867219@c.us)>;334505867219@c.us;334505867219;Mr. P;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a ;chat;False;False
2020-09-24 10:41:28;Group ABCDE;<Contact Mr. I (741193172177@c.us)>;741193172177@c.us;741193172177;Mr. I;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a ;chat;False;True
2020-09-24 10:42:02;Group ABCDE;<Contact Mrs. S (440333782705@c.us)>;440333782705@c.us;440333782705;Mrs. S;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a ;chat;False;False
2020-09-24 10:43:21;Group ABCDE;<Contact Mr. P (334505867219@c.us)>;334505867219@c.us;334505867219;Mr. P;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit tortor nisi, posuere tincidunt odio auctor a ;chat;False;False
